"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Option Name 4","Option Value 4","Option Name 5","Option Value 5","Option Name 6","Option Value 6","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"623c62eb898a2e222fc29d30","5a71b505-cdb6-40ed-be71-cbe9b4a3a6aa","PHYSICAL","supplements","mitocore","Daily Balance MultiVitamin","<p class="""">Daily Balance is a multivitamin with a special blend to empower your mitochondria.  Strong mitochondria are essential for cognitive and gastrointestinal function.  Essential Nutrition/ Multivitamin. Recharges cellular energy production, supports immune function, increases antioxidant protection, supports detox capacity. (30 day supply-60 capsules)</p><p class=""""><strong>Clinical Applications</strong></p><ul data-rte-list=""default""><li><p class="""">Recharges Cellular Energy Production</p></li><li><p class="""">Supports Immune Function</p></li><li><p class="""">Increases Antioxidant Protection</p></li><li><p class="""">Supports Detoxification Capacity</p></li><li><p class="""">Provides Key Micronutrients to Optimize Daily Nutritional Intake</p></li></ul>","SQ4251764","Count","120","","","","","","","","","","","62.00","0.00","No","Unlimited","/cellular-function","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6217d6799a1a843e9f038002/1666992365788-D6GM17OSO01QFBXRF048/DailyBalancePair.png https://images.squarespace-cdn.com/content/v1/6217d6799a1a843e9f038002/1666992455495-MXVOTP5M6O7EGBYXMHM7/DailyBalance120.png https://images.squarespace-cdn.com/content/v1/6217d6799a1a843e9f038002/1666992446841-B5RTSES4X8Y9PHE50OIG/DailyBalance60.png https://images.squarespace-cdn.com/content/v1/6217d6799a1a843e9f038002/1648124850389-B9NAXIDB5MDJF2WSJBDZ/117-mitocore.png"
"","77f2b02c-309d-4d00-8149-aad579c1a7a7","","","","","","SQ0657713","Count","60","","","","","","","","","","","35.20","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"623c98f6df22022e85fa5a9f","aa0d4215-e463-48b2-84e9-d8d44839146d","PHYSICAL","supplements","mitocore-cft4k","l-Tryptophan 180CT","<p class="""">Benefits &amp; Features</p><ul data-rte-list=""default""><li><p class="""">Enhances serotonin synthesis to support emotional well-being and restful sleep<sup>‡</sup></p></li><li><p class="""">Promotes relaxation and a positive outlook<sup>‡</sup></p></li><li><p class="""">Helps control occasional cravings<sup>‡</sup></p></li><li><p class="""">Contains serotonin precursor and cofactors</p></li></ul><p class="""">Made with high-quality vegetarian ingredients backed by verifiable science</p><p class="""">Suggested Use: 2 capsules with night time meal</p>","SQ0064679","Size","90 Count","","","","","","","","","","","60.85","0.00","No","Unlimited","/sleep-support","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6217d6799a1a843e9f038002/1685119612898-GW1A3K29G9X0AIH13N4U/l-tryptophan.png https://images.squarespace-cdn.com/content/v1/6217d6799a1a843e9f038002/1648138557062-E077GRE6I06TMC72ZZJZ/try11_rgb_2.jpg https://images.squarespace-cdn.com/content/v1/6217d6799a1a843e9f038002/1661357225914-8INRFOGFJH3WMBD23GGG/ltrypt90caps.png https://images.squarespace-cdn.com/content/v1/6217d6799a1a843e9f038002/1661357314827-LWTWSN6719JOPRZ4G4BL/l-tryptophan-90-s-try19.jpeg https://images.squarespace-cdn.com/content/v1/6217d6799a1a843e9f038002/1661357327791-VGD0Q0YTEFM99R2MPG2P/ltryptsupfacts.png"
"","365c323e-0b13-4c3a-b9f1-2bd4d5a73d9f","","","","","","SQ3875897","Size","180 Count","","","","","","","","","","","105.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"6262dd8edc87202fd523bb30","0bfeade3-0775-4446-82c0-48d8b1ddfa80","PHYSICAL","supplements","mitocore-cft4k-4dsc5","Cognitive Aminos","<p class=""""><strong>Provides amino acid precursors for healthy neurotransmitter activity, supporting mental function and healthy mood.</strong></p><p class="""">Benefits &amp; Features</p><ul data-rte-list=""default""><li><p class="""">Supports healthy neurotransmitter activity, supporting mental function and healthy mood<sup>‡</sup></p></li><li><p class="""">Promotes healthy brain cell function<sup>‡</sup></p></li></ul><ul data-rte-list=""default""><li><p class="""">Blend of amino acid precursors</p></li><li><p class="""">Made with high-quality vegan ingredients backed by verifiable science</p><p class="""">Suggested Use: <span style=""color: rgb(0, 0, 0)"">As a dietary supplement, take 2 capsules, 1-2 times daily, between meals.</span></p></li></ul>","SQ0445440","","","","","","","","","","","","","50.85","0.00","No","Unlimited","/cognitive-enhancement","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6217d6799a1a843e9f038002/1685119549918-UCWEIJZI9PD2YR2MXER5/cognitiveAminos.png https://images.squarespace-cdn.com/content/v1/6217d6799a1a843e9f038002/1661357974327-L0KXBSE2XFOJ7TZ7ZB27/Cogaminosupfact.png https://images.squarespace-cdn.com/content/v1/6217d6799a1a843e9f038002/1661357974203-PHH0KUFF3VHRY9OR1YRN/CognitiveAminospic.png"
"623c6e61898a2e222fc29f99","0da48fb2-1436-4a51-b79b-96d7b3a0396a","PHYSICAL","supplements","inflammacore","GI Balance","<p class="""">GI Balance is an advanced nutritional formula built to address immune challenges, maintain normal inflammatory balance and strengthen gastrointestinal barrier function.</p><p class=""""><strong>Clinical Applications</strong></p><ul data-rte-list=""default""><li><p class="""">Maintains Normal Inflammatory Balance</p></li><li><p class="""">Strengthens GI Barrier Function</p></li><li><p class="""">Boosts Immune Function</p></li><li><p class="""">Provides Key Nutrients for Cell Replication</p></li><li><p class="""">Increases Antioxidant Protection</p></li></ul>","SQ5829576","Flavor","Strawberry","","","","","","","","","","","80.00","70.00","Yes","Unlimited","/gut-health","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6217d6799a1a843e9f038002/1666992860259-IMTQFZ56E1V1W9WI2FK8/GIchocolate.png https://images.squarespace-cdn.com/content/v1/6217d6799a1a843e9f038002/1666992862048-YWWWXJHFTUL49Y7I6GAR/GIstrawberry.png https://images.squarespace-cdn.com/content/v1/6217d6799a1a843e9f038002/1666992861933-92IXDJF6SZEWGFSIDKE9/GIvanilla.png https://images.squarespace-cdn.com/content/v1/6217d6799a1a843e9f038002/1648130049359-MBH3QZ0FF602IEU6K4VJ/image.png"
"","e53b885c-7d1a-42d7-80c2-4e09868d6930","","","","","","SQ8374432","Flavor","Chocolate Mint","","","","","","","","","","","80.00","70.00","Yes","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","17083464-880e-4312-86f5-850fd0055aae","","","","","","SQ9396073","Flavor","Vanilla Chai","","","","","","","","","","","80.00","70.00","Yes","Unlimited","","","0.0","0.0","0.0","0.0","",""
"6262df5e13cf136ec1bc2f51","3b8fcf92-24e8-4bb2-88f7-0b4550c82bc4","PHYSICAL","supplements","inflammacore-s38hk-ehhda","Candicid Forte 180ct","<p class="""">Candicid Forte supports optimal GI microflora balance through a blend of nutrients, natural botanical extracts and fatty acids.</p><p class="""">Clinical Applications</p><ul data-rte-list=""default""><li><p class="""">Promotes Healthy Microbial Balance</p></li><li><p class="""">Helps Maintain Gastro-Intestinal Comfort</p></li><li><p class="""">Provides Nutrients that Increase Antioxidant Protection</p></li><li><p class="""">Enhances Immune Function</p></li></ul><p class="""">Gastrointestinal health is directly affected by factors like poor diet and a stressful lifestyle. The prevalence of refined sugars and carbohydrates and lack of fiber in Western diets have been directly linked to changes in the intestinal and colonic environments. Since more than 70% of the body’s immune system resides in the gut, establishing a healthy microbial balance is critical in reducing immune challenges and maintaining inflammatory balance.</p><p class="""">Candicid Forte provides a blend of nutrients, potent botanicals and essential oils to promote healthy microbial balance and immune support. Formulated with the goal of building a healthy gastrointestinal (GI) flora, Candicid Forte includes biotin, a nutrient that inhibits yeast from converting into the more aggressive fungal form. In addition, sodium caprylate is included to disrupt the metabolism of <em>Candida</em> and create a hostile environment for colonization. It also includes potent botanicals, such as berberine HCl, Pau d’Arco, oregano, rosemary, cinnamon and ginger, to sooth the GI tract, provide potent antioxidant support, and ensure microbial balance.</p><p class=""""><strong>Suggested Use:</strong></p><p class="""">2 capsules three times per day or as recommended by your health care professional</p>","SQ2439710","","","","","","","","","","","","","69.95","62.99","Yes","0","/gut-health","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6217d6799a1a843e9f038002/1685119383129-A324LI3FZW1WPGW59VKC/candicidForte.png https://images.squarespace-cdn.com/content/v1/6217d6799a1a843e9f038002/1650647058560-PF22J3V0VTZ7SWRM3SKG/510-candicid-forte.png"
"6262e04fb6ba882f2f38ae7b","85c0385b-d9a4-4dd0-a5a9-1f27ed2ca4f0","PHYSICAL","supplements","inflammacore-2nrf2","CogniMag 120's","<p class="""">CogniMag is a combination of magnesium and PhytoMemory polyphenol blend in one dietary supplement to support cognitive function. Studies have shown that optimal brain magnesium levels may support learning ability as well as short and long-term memory function.<sup>‡</sup></p><p class=""""><strong>Benefits &amp; Features</strong></p><ul data-rte-list=""default""><li><p class="""">Promotes cognitive function, learning ability and working memory<sup>‡</sup></p></li><li><p class="""">Supports optimal brain magnesium levels<sup>‡</sup></p></li><li><p class="""">Magnesium-l-threonate and polyphenol blend</p></li><li><p class="""">Proprietary blend provides an antioxidant and phytochemical complex from blueberry, strawberry and spinach</p></li><li><p class="""">Made with high-quality vegetarian ingredients backed by verifiable science</p></li></ul><p class="""">Suggested Use</p><p style=""text-align:start;"" class="""">As a dietary supplement, take 2 capsules, twice daily, with a meal and at bedtime.</p><p class=""""></p>","SQ5051184","","","","","","","","","","","","","50.65","0.00","No","Unlimited","/cognitive-enhancement","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/6217d6799a1a843e9f038002/1685119582563-QTPWKNZ4APFINS2TAELU/cogniMag.png https://images.squarespace-cdn.com/content/v1/6217d6799a1a843e9f038002/1661358547674-D6W86Y253Q1O63ZDV5EB/Cognimagsuppfact.png"
